,% Pop,Name,# Serious Cases per 100k Unvaxed,# Serious Cases per 100k Double Dose,# Serious Cases per 100k Boosted,Efficacy Boosted,Efficacy Double Dose
0,.0662,12-15,0.4,0.0,0.0,1.0,1.0
1,.0617,16-19,0.7,0.0,0.0,1.0,1.0
2,.1384,20-29,4.7,0.6,0.0,1.0,0.872
3,.1312,30-39,24.5,0.2,0.0,1.0,0.992
4,.1196,40-49,59.4,1.8,1.2,0.98,0.97
5,.0915,50-59,76.2,8.4,1.2,0.984,0.89
6,.0825,60-69,156.2,23.2,2.3,0.985,0.851
7,.0506,70-79,171.4,53.3,4.3,0.975,0.689
8,.0242,80-89,217.9,76.1,11.0,0.95,0.651
9,.0062,90+,233.4,52.9,2.9,0.988,0.773
